,seed,actions
69,69,"[3, 3, 0, 0, 2, 1, 3, 1, 1, 1, 2, 2, 0, 3, 0, 3, 0, 0, 2, 1, 1, 3, 2, 2, 1, 1, 3, 3, 0, 1, 2, 0, 3, 0, 0]"
70,70,"[3, 0, 1, 2, 1, 1, 3, 0]"
71,71,"[3, 3, 1, 2, 3, 2, 1, 2, 1, 1, 3, 2, 0, 3, 0, 0, 3, 0, 2, 2, 1, 3, 1, 1, 2, 1, 3, 1, 2, 3, 2, 0, 3, 0, 2, 2, 0, 3, 2, 3, 0, 3, 1]"
72,72,"[1, 2, 3, 2, 0, 2, 2, 2, 2, 1, 3, 3, 1, 1, 2, 3, 0, 0, 3, 2, 3, 1, 2, 2, 0, 2, 0, 3, 3, 3, 3, 3, 1, 2, 2, 3, 3, 0, 2, 2, 2, 2, 1, 3, 2, 3, 1, 3, 0, 3, 2, 2, 0, 3]"
73,73,"[2, 3, 1, 2, 0, 2, 3, 2, 0, 2, 2, 1, 2, 1, 3, 3, 3, 0, 2, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 2, 2, 0, 3, 2, 3, 0, 3, 3, 1, 3, 1, 2, 3, 3, 0, 2, 2, 0, 2, 2, 1, 3, 3, 1, 2, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 3, 0, 3, 2, 3, 1, 2, 2, 0, 2, 1, 3, 3, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 2, 1, 3, 2, 0, 3, 3, 0, 3, 2, 3, 1, 2, 2, 2, 1, 3, 1, 3, 3, 3, 3, 1, 2, 2, 2, 2, 2, 0, 3, 0, 0, 2, 1, 3, 2, 0, 3, 3, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 2, 1, 3, 1, 3, 3, 3, 3, 1, 2, 2, 2, 2, 2, 0, 3, 0, 0, 3, 0, 3, 2, 3, 1, 2, 2, 1, 1, 2, 0, 3, 0, 3, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 0, 2, 1, 3, 3, 3, 3, 0, 2, 3, 3, 1, 2, 2, 2, 2, 2, 1, 3, 2, 0, 3, 0, 3, 2, 3, 1, 3, 3, 0, 2, 3, 3, 1, 2, 2, 2, 2, 2, 1, 3, 1, 3, 3, 3, 3, 1, 2, 2, 2, 2, 2, 0, 3, 0, 0, 0, 3, 2, 3, 1, 2, 1, 1, 2, 0, 3, 0, 3, 3, 3, 0, 2, 3, 3, 1, 2, 2, 2, 2, 0, 2, 1, 3, 3, 3, 0, 2, 3, 3, 3, 1, 2, 2, 2, 2, 2, 1, 3, 2, 0, 0, 3, 2, 3, 1, 3, 3, 0, 2, 3, 3, 3, 1, 2, 2, 2, 2, 2, 1, 3, 1, 3, 3, 3, 3, 1, 2, 2, 2, 2, 2, 0, 3, 0, 0, 2, 0, 3, 2, 3, 1, 1, 1, 2, 0, 3, 0, 0, 3, 2, 3, 0, 3, 1, 3, 2, 2, 2, 2, 1, 3, 3, 3, 2, 3, 0, 2, 2, 2, 1, 1, 3, 2, 0, 3, 3, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 2, 2, 1, 3, 1, 1, 3, 3, 3, 3, 1, 2, 2, 2, 2, 2, 0, 3, 0, 0, 3, 0, 3, 3, 1, 2, 3, 3, 0, 2, 2, 2, 2, 2, 1, 1, 3, 0, 3, 3, 2, 3, 0, 2, 2, 2, 1, 3, 1, 1, 3, 3, 3, 3, 1, 2, 2, 2, 2, 2, 0, 3, 0, 0, 3, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 2, 2, 1, 1, 3, 2, 0, 3, 3, 0, 3, 3, 1, 2, 3, 3, 0, 2, 2, 2, 2, 2, 1, 3, 1, 1, 3, 3, 3, 3, 1, 2, 2, 2, 2, 2, 0, 3, 0, 0, 3, 2, 1, 1, 2, 0, 3, 0, 3, 3, 2, 3, 0, 2, 2, 2, 1, 3, 1, 1, 2, 0, 3, 0, 3, 3, 0, 3, 3, 1, 2, 2, 3, 3, 0, 2, 2, 2, 2, 2, 1, 3, 2, 0, 3, 3, 3, 1, 2, 3, 3, 3, 0, 2, 2, 2, 2, 2, 1, 1, 0, 3, 2, 3, 0, 3, 3, 1, 2, 3, 3, 3, 0, 2, 2, 2, 2, 2, 1, 1, 3, 1, 3, 3, 3, 3, 1, 2, 2, 2, 2, 2, 0, 3, 0, 0, 3, 2, 1, 1, 2, 0, 3, 0, 3, 3, 3, 3, 0, 2, 2, 2, 0, 2, 1, 2, 1, 3, 2, 3, 1, 1, 2, 0, 3, 0, 0, 3, 3, 1, 2, 3, 3, 3, 0, 2, 2, 2, 2, 1, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 1, 3, 1, 0, 2, 1, 3, 1]"
74,74,[]
75,75,[]
76,76,"[2, 3, 0, 0, 2, 0, 3, 0, 0, 2, 1, 3, 1, 1, 2, 1, 3, 2, 0, 3, 0, 0, 2, 1]"
77,77,"[1, 0, 3, 1]"
78,78,"[2, 3, 2, 1, 2, 2, 0, 0, 3, 2, 1, 1, 3, 0, 3, 2, 2, 0, 0, 3, 3, 1, 0, 2, 1, 3, 2, 2, 1, 1, 3, 3, 0, 3, 2, 1, 2, 2, 0, 0, 3, 0, 3, 1, 2, 3, 0, 2, 2, 1, 1, 1, 3, 0, 3, 2, 3, 1, 2, 2, 0, 0, 0, 3, 1]"
